Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Status,Type of Mission,Available To,Skills,Skills 2,Mission Budget,Currency,Estimated Time,Mission Overview,Scope of Work,Ideal Profile,Mission Screening Questions,Resources,Mission Logistics,Airtable ID,Notes
Airdrop Notification Service,airdrop-notification-service,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3629e,FALSE,FALSE,Wed Sep 28 2022 13:54:45 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:37:57 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,design; development,Design,,,,,,,,,,recKIVuFPJcOKbdcL,
Audit & Review the Solana course!,audit-review-the-solana-course,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36291,FALSE,FALSE,Wed Sep 28 2022 13:54:32 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 11:00:18 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Community,Members & Contributors,development,Development,,,,,,,,,,recEB6k8HqE7p6iqH,
Capx Community Advisory Board,capx-community-advisory-board,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3629d,FALSE,FALSE,Wed Sep 28 2022 13:54:44 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:38:01 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,strategy,Strategy,,,,,,,,,,recS82DbV0V8xPrU7,
Create Content and Produce Videos for GARI,create-content-and-produce-videos-for-gari,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36293,FALSE,FALSE,Wed Sep 28 2022 13:54:34 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:37:44 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,video,Video,,,,,,,,,,rec6TsdRyn1ai8NrD,
Honey Finance Landing Page Development,honey-finance-landing-page-development,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36292,FALSE,FALSE,Wed Sep 28 2022 13:54:33 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:37:59 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,development,Development,,,,,,,,,,recTUsX2U7F4vf6v3,
Landing Page & Design System Mission for StellarSOL,landing-page-design-system-mission-for-stellarsol,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3629a,FALSE,FALSE,Wed Sep 28 2022 13:54:39 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 11:00:19 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Community,Members & Contributors,design; development,"Design, Development",2000,USDC,2 Weeks,"StellarSOL is a browser extension that enables users to pay on traditional e-commerce websites like Amazon, Walmart, etc. and they want to sponsor the best designed interactive website. Fresh off a 2nd place finish in the Summer Camp Hackathon, they&rsquo;re ready to roll out their product to the masses.<br>StellarSOL is looking for the best duo ( Designer and Developer) to build the landing page and design system for their product.<br>Here are some of the websites that can be used for inspiration:<br>https://nanocard.framer.website/<br>https://wormhole.com/<br>https://www.taksh.xyz/","1. 2D Logo and design system for the website.<br>2. The landing page designed, with interactions such as animations and scroll effects to make it look alive.<br>3. It may be developed using either Webflow or code.",For Design:<br>Someone with a deep understanding of interactive websites and brand design.<br><br>For Development:<br>Someone who can quickly turn design into actual code or Webflow design quickly and knows how to build responsive websites properly.,"To apply for this Mission, you&rsquo;ll first need to put together a lightweight plan. This plan should answer the following strategic questions:<br><br><br>What tech stack will your team use?<br>What are potentially the most difficult parts of the project?<br>What, if anything, will you need from the sponsor team (besides funding)?<br>What are your best examples of proof of work?<br><br>Discuss these questions with your team and put the answers into a Google doc to include in your application. Please make sure your visibility settings are set to &ldquo;Anyone with the link&rdquo; or your application will not be reviewed.",,"Create a Google doc or Notion page with your answers to the questions above.<br>Apply for the Mission using the link above.<br>Note that we are unable to provide individualized feedback on rejected applications at this time. Please keep that in mind before you apply.<br>If you&rsquo;re approved for the Mission, you will receive 25% of the funding up front, 25% halfway through the project, and the rest upon completion.",rec728dy129VbSVJB,
Landing Page & Design System Mission for StellarSOL,landing-page-design-system-mission-for-stellarsol-0,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e362fe,FALSE,FALSE,Wed Nov 23 2022 00:23:32 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 00:26:06 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Community,Members & Contributors,design-8; development-b,Design,2000,USDC,2 Weeks,"StellarSOL is a browser extension that enables users to pay on traditional e-commerce websites like Amazon, Walmart, etc. and they want to sponsor the best designed interactive website. Fresh off a 2nd place finish in the Summer Camp Hackathon, they&rsquo;re ready to roll out their product to the masses.<br>StellarSOL is looking for the best duo ( Designer and Developer) to build the landing page and design system for their product.<br>Here are some of the websites that can be used for inspiration:<br>https://nanocard.framer.website/<br>https://wormhole.com/<br>https://www.taksh.xyz/","1. 2D Logo and design system for the website.<br>2. The landing page designed, with interactions such as animations and scroll effects to make it look alive.<br>3. It may be developed using either Webflow or code.",For Design:<br>Someone with a deep understanding of interactive websites and brand design.<br><br>For Development:<br>Someone who can quickly turn design into actual code or Webflow design quickly and knows how to build responsive websites properly.,"To apply for this Mission, you&rsquo;ll first need to put together a lightweight plan. This plan should answer the following strategic questions:<br><br><br>What tech stack will your team use?<br>What are potentially the most difficult parts of the project?<br>What, if anything, will you need from the sponsor team (besides funding)?<br>What are your best examples of proof of work?<br><br>Discuss these questions with your team and put the answers into a Google doc to include in your application. Please make sure your visibility settings are set to &ldquo;Anyone with the link&rdquo; or your application will not be reviewed.",,"Create a Google doc or Notion page with your answers to the questions above.<br>Apply for the Mission using the link above.<br>Note that we are unable to provide individualized feedback on rejected applications at this time. Please keep that in mind before you apply.<br>If you&rsquo;re approved for the Mission, you will receive 25% of the funding up front, 25% halfway through the project, and the rest upon completion.",rec728dy129VbSVJB,
Market Research for Solana Pay,market-research-solana-pay,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3629c,FALSE,FALSE,Wed Sep 28 2022 13:54:43 GMT+0000 (Coordinated Universal Time),Sat Oct 08 2022 14:12:08 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Community,Members & Contributors,research-6,Research,1500,USDC,2 Weeks,"[Solana Pay](https://solanapay.com/) is an open-source protocol that sets the standard for payments on the Solana blockchain. It was launched in February 2022 and has seen 100+ ecosystem projects being built on it. Payments is a multi-trillion dollar industry and a long-term focus of the Solana ecosystem.<br><br>The goal of this mission is to explore opportunities for Solana Pay in markets outside of the US and EU. Based on countries with the highest crypto adoption and best developer communities, find the top payments gateway companies, FinTech companies, crypto/web3 companies, and ecosystem projects. Explore how Solana&apos;s ecosystem should engage with these different parties. Using empirical and secondary research, compile market overviews on how local payment networks function.<br><br>This mission is integral to how the Solana Pay team will approach new market expansion. The team has engaged with local projects in India, Vietnam, and West Africa, but we don&rsquo;t have enough capacity to explore all new markets comprehensively. The ideal submission will help us discover new opportunities in previously overlooked markets where this is a strong consumer and merchant value proposition using Solana Pay.<br><br>Note that the successful submission need not cover all geographies. Aim for depth over breath.",#NAME?,"- The ideal talent should have an academic, research, consulting, or banking background with previous exposure to payments or FinTech.<br>- There is no limit to the size of the team, although we would like to see teams &lt;3 people.","To apply for this Mission, you&rsquo;ll first need to put together a lightweight plan. This plan should answer the following strategic questions:<br><br>1. What regions do you see the most opportunities and why?<br>2. How do you plan to form your own opinions on the projects while taking cultural and geographical nuances into consideration?<br>3. Do you have any relevant experience with FinTech or payments?<br>4. What, if anything, will you need from the sponsor team (besides funding)?<br>5. What are your best examples of proof of work?<br><br>Discuss these questions with your team and put the answers into a Google doc to include in your application. Please make sure your visibility settings are set to &ldquo;Anyone with the link&rdquo; or your application will not be reviewed.",,"1. Create a Google doc or Notion page with your answers to the questions above.<br>2. Apply for the Mission using the link above.<br>1. Note that we are unable to provide individualised feedback on rejected applications at this time. Please keep that in mind before you apply.<br>3. If you&rsquo;re approved for the Mission, you will receive 25% of the funding up front, 25% halfway through the project, and the rest upon completion.",reciR940OtBpSd1EQ,
Marketing & Growth Mission for pSTAKE ,marketing-for-pstake,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3628e,FALSE,FALSE,Wed Sep 28 2022 13:54:29 GMT+0000 (Coordinated Universal Time),Sat Oct 08 2022 14:12:11 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Community,Members & Contributors,marketing,Marketing,,,,,,,,,,recg2lDRy4W1EmLI1,
No Code Tool for NFTs,no-code-tool-for-nfts,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36299,FALSE,FALSE,Wed Sep 28 2022 13:54:38 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:37:52 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,design; development; writing,Design,,,,,,,,,,recr8ja2OEixaGB4W,
Rewards Mining,rewards-mining,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36298,FALSE,FALSE,Wed Sep 28 2022 13:54:37 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:37:40 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,design; development; writing,Design,,,,,,,,,,recD4V3hmrj5onodv,
Superteam Earnings Portal,superteam-earnings-portal,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3628f,FALSE,FALSE,Wed Sep 28 2022 13:54:30 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:37:51 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,design; development,Design,,,,,,,,,,reckjNQSbERkzN6aA,
Superteam Homepage Development,superteam-homepage-development,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3628d,FALSE,FALSE,Wed Sep 28 2022 13:53:28 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:37:41 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,development,Development,,,,,,,,,,recLXpz6rY2lIu7UD,
Superteam Impact Dashboard,superteam-impact-dashboard,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3629b,FALSE,FALSE,Wed Sep 28 2022 13:54:41 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:37:53 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Member,,design; development,Design,,,,,,,,,,recqVCw96h7izAhwh,
Write Seahorse Lang Program Examples!,write-seahorse-lang-program-examples,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36290,FALSE,FALSE,Wed Sep 28 2022 13:54:31 GMT+0000 (Coordinated Universal Time),Wed Oct 12 2022 10:52:28 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Community,Members & Contributors,writing; development,Writing,1500,USDC,5-20 Hours,"<p id="""">Seahorse lets you write Solana programs in Python. It is a community-led project built on <a id="""" href=""https://github.com/coral-xyz/anchor"">Anchor</a> Developers gain Python's ease-of-use, while still having the same safety guarantees of every Rust program on the Solana chain. Low-level memory problems are handled by default, letting you worry about the important stuff.<br><br>Solana Foundation is looking for 3 devs to write Seahorse program examples and learning guides. Specifically, recreating the following, but for Seahorse Lang:<br><br>1. Cash-settled European options protocol <a id="""" href=""https://github.com/0xTomoyo/anchor-options"">reference</a><br>2. Escrow program <a id="""" href=""https://hackmd.io/@ironaddicteddog/anchor_example_escrow"">reference</a><br>3. Voting example <a href=""https://github.com/bfriel/crunchy-vs-smooth-v2"">reference</a><br><br>Three people shall be selected to write a guide for each program. And shall be paid $500 for the deliverable.</p>","- Go through and understand existing Anchor reference guides,<br>- Create similar program but in Python for Seahorse,<br>- Create a tutorial / learning guide which people can follow to learn more about Seahorse.",- Strong Solana development skills and at least 3 months of experience in Rust development<br>- Python experience,"<p id="""">To apply for this Mission, you’ll first need to put together a lightweight plan. This plan should answer the following strategic questions:<br><br>1. Are you a full-time developer? (Y/N)<br>2. How proficient are you at write code in python? (1-10) And describe the most complex code you’ve written in python?<br>3. How proficient are you at Solana development? (1-10)<br>4. What is the single biggest technical challenge you have solved? (1-2 lines)<br>5. Which of the three tutorials would you want to write?<br><br>Put the answers into a Google doc (you can make a copy of <a href=""https://docs.google.com/document/u/0/d/1m1CMs_2Wk4Pj9qNDsUtW3NzNKnuudzDtWVKVwhNzBpI/edit?fromCopy=true"">this document</a>) and include in your application. Please make sure your visibility settings are set to “Anyone with the link” or your application will not be reviewed.</p>","<p id="""">Dummy Resource<br><br>1. Create a Google doc can fork <a href=""https://docs.google.com/document/u/0/d/1m1CMs_2Wk4Pj9qNDsUtW3NzNKnuudzDtWVKVwhNzBpI/edit?fromCopy=true"">this document</a> with your answers to the questions above.<br>2. Apply for the Mission using the link above. <br>Note that we are unable to provide individualised feedback on rejected applications at this time. Please keep that in mind before you apply.<br>3. If you’re approved for the Mission, you will be informed within 2-3 days.<br>4. 100% of the amount shall be paid upon final submission.</p>","<p id="""">Dummy Resource </p><p id="""">1. Create a Google doc can fork <a id="""" href=""https://docs.google.com/document/u/0/d/1m1CMs_2Wk4Pj9qNDsUtW3NzNKnuudzDtWVKVwhNzBpI/edit?fromCopy=true"">this document</a> with your answers to the questions above.<br>2. Apply for the Mission using the link above. <br>Note that we are unable to provide individualised feedback on rejected applications at this time. Please keep that in mind before you apply.<br>3. If you’re approved for the Mission, you will be informed within 2-3 days.<br>4. 100% of the amount shall be paid upon final submission.</p>",recnAvyGzn9dhUeV2,
Write Seahorse Lang Program Examples!,write-seahorse-lang-program-examples-a,65b670ec21078c5d27e361e1,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3630c,FALSE,FALSE,Wed Nov 23 2022 00:23:46 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 00:26:09 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),Closed,Community,Members & Contributors,writing-e4; development-b,Writing,1500,USDC,5-20 Hours,"Seahorse lets you write Solana programs in Python. It is a community-led project<br>built on Anchor [https://github.com/coral-xyz/anchor] Developers gain Python&apos;s<br>ease-of-use, while still having the same safety guarantees of every Rust program<br>on the Solana chain. Low-level memory problems are handled by default, letting<br>you worry about the important stuff.<br><br>Solana Foundation is looking for 3 devs to write Seahorse program examples and<br>learning guides. Specifically, recreating the following, but for Seahorse Lang:<br><br>1. Cash-settled European options protocol reference<br>[https://github.com/0xTomoyo/anchor-options]<br>2. Escrow program reference<br>[https://hackmd.io/@ironaddicteddog/anchor_example_escrow]<br>3. Voting example reference [https://github.com/bfriel/crunchy-vs-smooth-v2]<br><br>Three people shall be selected to write a guide for each program. And shall be<br>paid $500 for the deliverable.","- Go through and understand existing Anchor reference guides,<br>- Create similar program but in Python for Seahorse,<br>- Create a tutorial / learning guide which people can follow to learn more about Seahorse.",- Strong Solana development skills and at least 3 months of experience in Rust development<br>- Python experience,"To apply for this Mission, you&rsquo;ll first need to put together a lightweight plan.<br>This plan should answer the following strategic questions:<br><br>1. Are you a full-time developer? (Y/N)<br>2. How proficient are you at write code in python? (1-10) And describe the most<br>complex code you&rsquo;ve written in python?<br>3. How proficient are you at Solana development? (1-10)<br>4. What is the single biggest technical challenge you have solved? (1-2 lines)<br>5. Which of the three tutorials would you want to write?<br><br>Put the answers into a Google doc (you can make a copy of this document<br>[https://docs.google.com/document/u/0/d/1m1CMs_2Wk4Pj9qNDsUtW3NzNKnuudzDtWVKVwhNzBpI/edit?fromCopy=true])<br>and include in your application. Please make sure your visibility settings are<br>set to &ldquo;Anyone with the link&rdquo; or your application will not be reviewed.","Dummy Resource<br><br>1. Create a Google doc can fork this document<br>[https://docs.google.com/document/u/0/d/1m1CMs_2Wk4Pj9qNDsUtW3NzNKnuudzDtWVKVwhNzBpI/edit?fromCopy=true]<br>with your answers to the questions above.<br>2. Apply for the Mission using the link above.<br>Note that we are unable to provide individualised feedback on rejected<br>applications at this time. Please keep that in mind before you apply.<br>3. If you&rsquo;re approved for the Mission, you will be informed within 2-3 days.<br>4. 100% of the amount shall be paid upon final submission.","Dummy Resource<br><br>1. Create a Google doc can fork this document<br>[https://docs.google.com/document/u/0/d/1m1CMs_2Wk4Pj9qNDsUtW3NzNKnuudzDtWVKVwhNzBpI/edit?fromCopy=true]<br>with your answers to the questions above.<br>2. Apply for the Mission using the link above.<br>Note that we are unable to provide individualised feedback on rejected<br>applications at this time. Please keep that in mind before you apply.<br>3. If you&rsquo;re approved for the Mission, you will be informed within 2-3 days.<br>4. 100% of the amount shall be paid upon final submission.",recnAvyGzn9dhUeV2,